Attack,System,Dataset,Model,Baseline BLEU,Post-Attack BLEU,Defended BLEU,Delta BLEU,Baseline EM,Post-Attack EM,Defended EM,Delta EM,Baseline F1,Post-Attack F1,Defended F1,Delta F1,Membership Acc,Defended Membership Acc,KB Recovery %,Defended KB Recovery %,Runtime (s),Memory Overhead MB,Notes
Client Data Poisoning,FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,1.0000,0.9500,0.9500,-0.0500,1.0000,0.9500,0.9500,-0.0500,1.0000,0.9500,0.9500,-0.0500,,,,,0.0001,218.1094,"num_clients=10; malicious_clients=[0, 2]; quarantined=[]"
Client Membership Inference,FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.5000,0.5000,,,0.0017,218.2188,target_client=0; score_masking_public_score=0.5; members=8; non_members=8
Client Knowledge Extraction,FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,,,100.0000,75.0000,0.0065,218.2344,"target_client=0; queries=92; defended_queries=9; defenses={'rate_limiter': {'allowed_count': 18, 'blocked_count': 74, 'block_rate': 0.8043478260869565, 'max_queries_per_client': 18}, 'anomaly_detector': {'allowed_count': 9, 'blocked_count': 83, 'block_rate': 0.9021739130434783, 'flagged_clients': {0: 'broad_topic_coverage'}}}"
