Attack,System,Dataset,Model,Baseline BLEU,Post-Attack BLEU,Defended BLEU,Delta BLEU,Baseline EM,Post-Attack EM,Defended EM,Delta EM,Baseline F1,Post-Attack F1,Defended F1,Delta F1,Membership Acc,Defended Membership Acc,KB Recovery %,Defended KB Recovery %,Availability %,Post-Attack Availability %,Defended Availability %,Byzantine Nodes,Sybil Nodes,Runtime (s),Memory Overhead MB,Notes
Client Membership Inference,FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,0.9458,0.9458,0.9458,0.0000,0.9458,0.9458,0.9458,0.0000,0.9458,0.9458,0.9458,0.0000,0.5714,0.4286,,,,,,,,0.0311,773.8594,target_client=9; score_masking=True; members=24; non_members=18
Node Availability (byzantine),FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,0.9458,0.6625,0.6625,-0.2833,0.9458,0.6625,0.6625,-0.2833,0.9458,0.6625,0.6625,-0.2833,,,,,100.0000,100.0000,100.0000,3,,0.0000,774.0156,"attack_type=byzantine; attack_ratio=0.3; affected=[0, 6, 9]"
System Membership Inference,FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,0.9458,0.9458,0.9458,0.0000,0.9458,0.9458,0.9458,0.0000,0.9458,0.9458,0.9458,0.0000,1.0000,0.5000,,,,,,,,0.1149,775.4219,system_level=true; score_masking=True; members=120; non_members=120
System Node Availability (byzantine),FedRAG Federated Clients,synthetic-client-rag,HashingRetriever,0.9458,0.6625,0.6625,-0.2833,0.9458,0.6625,0.6625,-0.2833,0.9458,0.6625,0.6625,-0.2833,,,,,100.0000,100.0000,100.0000,3,,0.0000,775.4219,"system_level=true; attack_type=byzantine; attack_ratio=0.3; affected=[0, 6, 9]"
