Attack,System,Dataset,Model,Baseline BLEU,Post-Attack BLEU,Defended BLEU,Delta BLEU,Baseline EM,Post-Attack EM,Defended EM,Delta EM,Baseline F1,Post-Attack F1,Defended F1,Delta F1,Membership Acc,KB Recovery %,Availability %,Post-Attack Availability %,Defended Availability %,Runtime (s),Memory Overhead MB,Notes,Baseline Precision,Post-Attack Precision,Defended Precision,Delta Precision,Baseline Recall,Post-Attack Recall,Defended Recall,Delta Recall,Baseline Rouge1,Post-Attack Rouge1,Defended Rouge1,Delta Rouge1,Baseline Rouge2,Post-Attack Rouge2,Defended Rouge2,Delta Rouge2,Baseline RougeL,Post-Attack RougeL,Defended RougeL,Delta RougeL,Baseline Semantic Sim,Post-Attack Semantic Sim,Defended Semantic Sim,Delta Semantic Sim,Query Failure Rate Baseline,Query Failure Rate Post-Attack,Query Failure Rate Defended
poisoning,FedRAG,synthetic-client-rag,system-eval,0.9000,0.6680,0.6680,-0.2320,1.0000,0.7000,0.7000,-0.3000,0.9000,0.6635,0.6635,-0.2365,,,100.0000,100.0000,100.0000,0.0001,1439.1172,attack=poisoning; node_type=N/A; affected=[]; defense_enabled=True,0.9000,0.6680,0.6680,-0.2320,0.9000,0.6630,0.6630,-0.2370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.6853,0.6853,-0.2147,0.0000,0.0000,0.0000
node_availability,FedRAG,synthetic-client-rag,system-eval,0.9000,0.9000,0.9000,0.0000,1.0000,1.0000,1.0000,0.0000,0.9000,0.9000,0.9000,0.0000,,,100.0000,70.0000,70.0000,0.0000,1439.1172,"attack=node_availability; node_type=node_removal; affected=[1, 6, 8, 12, 13, 15]; defense_enabled=True",0.9000,0.9000,0.9000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000
extraction,FedRAG,synthetic-client-rag,system-eval,0.9000,0.9000,0.9000,0.0000,1.0000,1.0000,1.0000,0.0000,0.9000,0.9000,0.9000,0.0000,,100.0000,100.0000,100.0000,100.0000,0.3496,1439.1172,attack=extraction; node_type=N/A; affected=[]; defense_enabled=True,0.9000,0.9000,0.9000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000
membership_inference,FedRAG,synthetic-client-rag,system-eval,0.9000,0.9000,0.9000,0.0000,1.0000,1.0000,1.0000,0.0000,0.9000,0.9000,0.9000,0.0000,1.0000,,100.0000,100.0000,100.0000,0.0882,1439.1172,attack=membership_inference; node_type=N/A; affected=[]; defense_enabled=True,0.9000,0.9000,0.9000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9000,0.9000,0.9000,0.0000,0.0000,0.0000,0.0000
