Attack,Intensity,Clients Affected,Total Clients,Affected Ratio,Baseline EM,Baseline F1,Baseline BLEU,Attacked EM,Attacked F1,Attacked BLEU,Delta F1,Delta EM,Delta BLEU,Defended EM,Defended F1,Defended BLEU,Recovery F1,Defense,KB Exposed % (no defense),KB Exposed % (defended),Availability Before,Availability After,Runtime (s),Notes
Data Poisoning,heavy,5,10,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,ClientDataPoisoningDefense,,,,,0.6486,"poison_type=wrong_answer; malicious_clients=[0, 2, 4, 6, 9]; total_poisoned_records=160; quarantined=[0, 2, 4, 6, 9]"
KB Extraction,heavy,5,10,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,QueryRateLimiter + ExtractionAnomalyDetector,100.0,36.0,,,0.0258,"targeted_clients=[0, 1, 2, 3, 4]; total_attack_queries=388; nodes_exposed_before_defense=100/100 (100.0%); nodes_exposed_after_defense=36/100 (36.0%)"
Node Availability (node_removal),heavy,5,10,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.1134,"attack_type=node_removal; affected_nodes=[0, 2, 4, 6, 9]; availability=1.00→0.50"
Node Availability (byzantine),heavy,5,10,0.5,1.0,1.0,1.0,0.5,0.8333333333333321,0.75,-0.1667,-0.5,-0.25,0.8,0.933333333333333,0.9,0.1,CrossPeerValidation,,,1.0,1.0,0.2241,"attack_type=byzantine; affected_nodes=[0, 2, 4, 6, 9]; availability=1.00→1.00"
Node Availability (ddos),heavy,5,10,0.5,1.0,1.0,1.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,CrossPeerValidation,,,1.0,0.5,0.1133,"attack_type=ddos; affected_nodes=[0, 2, 4, 6, 9]; availability=1.00→0.50"
