Attack,System,Dataset,Model,Baseline BLEU,Post-Attack BLEU,Defended BLEU,Delta BLEU,Baseline EM,Post-Attack EM,Defended EM,Delta EM,Baseline F1,Post-Attack F1,Defended F1,Delta F1,Membership Acc,KB Recovery %,Availability %,Post-Attack Availability %,Defended Availability %,Runtime (s),Memory Overhead MB,Notes,Baseline Precision,Post-Attack Precision,Defended Precision,Delta Precision,Baseline Recall,Post-Attack Recall,Defended Recall,Delta Recall,Baseline Rouge1,Post-Attack Rouge1,Defended Rouge1,Delta Rouge1,Baseline Rouge2,Post-Attack Rouge2,Defended Rouge2,Delta Rouge2,Baseline RougeL,Post-Attack RougeL,Defended RougeL,Delta RougeL,Baseline Semantic Sim,Post-Attack Semantic Sim,Defended Semantic Sim,Delta Semantic Sim,Query Failure Rate Baseline,Query Failure Rate Post-Attack,Query Failure Rate Defended
poisoning,FedRAG,synthetic-client-rag,system-eval,1.0000,0.7000,0.7000,-0.3000,1.0000,0.7000,0.7000,-0.3000,1.0000,0.7000,0.7000,-0.3000,,,100.0000,100.0000,100.0000,0.0001,1316.6094,attack=poisoning; node_type=N/A; affected=[]; defense_enabled=True,1.0000,0.7000,0.7000,-0.3000,1.0000,0.7000,0.7000,-0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8748,0.8748,-0.1252,0.0000,0.0000,0.0000
node_availability,FedRAG,synthetic-client-rag,system-eval,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,,,100.0000,70.0000,70.0000,0.0000,1316.6094,"attack=node_availability; node_type=node_removal; affected=[0, 6, 9]; defense_enabled=True",1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
