Attack,DRAG Baseline F1,DRAG Attack F1,DRAG Defended F1,FedRAG Baseline F1,FedRAG Attack F1,FedRAG Defended F1
Data Poisoning (LIGHT),1.0000,0.9400,0.9600,?,?,?
Data Poisoning (MEDIUM),1.0000,0.8200,0.8700,?,?,?
Data Poisoning (HEAVY),1.0000,0.7200,0.7800,?,?,?
Membership Inference,Acc=1.000,Acc=0.950,Acc=0.550,Acc=1.000,Acc=1.000,Acc=0.500
KB Extraction,Exp=100%,Exp=100%,Exp=40%,Exp=100%,Exp=100%,Exp=35%
Byzantine (LIGHT),1.0000,0.9700,0.9700,1.0000,0.9667,0.9667
Byzantine (MEDIUM),1.0000,0.9100,0.9500,1.0000,0.9000,0.9667
Byzantine (HEAVY),1.0000,0.8500,0.9200,1.0000,0.8333,0.9333
